k_u,k_v,cosine
2,9,0.053807791167217976
5,10,0.14280915242075695
2,2,0.1353895703882301
2,5,0.1099557732450954
155,981,0.07227897826139423
46,981,0.052000306773238254
42,502,0.24543156064576307
20,42,0.25530644373501055
42,48,0.21279132610908397
4,42,0.2420344918076882
20,21,0.0526995692752337
4,14,0.12796612175647132
2,9,0.0640844578151402
18,26,0.13725735272238096
2,26,0.006399789101899108
6,3326,0.03069408818310415
3,11,0.0
22,114,0.06015325542575953
8,12,0.05881508769951084
113,1398,0.04594349025011231
296,1398,0.06808681207240451
3,1398,0.015183432837777858
7,203,0.07572232011275165
5,16,0.0726155548766266
4,6,0.08377854863779642
8,29,0.0826016575013235
17,1558,0.1308079303987405
6,17,0.17533757454304127
7,17,0.0913560883812223
19,81,0.10513496501422753
12,23,0.017706493194674766
15,58,0.19592742604134727
2,8,0.0760034591051919
2,6,0.03627725654045907
7,9,0.18244562322921226
2,7,0.10844656482781564
12,293,0.12733795258372796
